Celeb Name,Age of Death,Average Percentage of Happy,Happiness Category,Sex,Year born
Rip Taylor,88,0.00%,1,m,1931
Scott Hall,63,0.00%,1,m,1958
Virgil Abloh,41,0.02%,1,m,1980
Coolio,59,0.03%,1,m,1963
Dave Frishberg,88,0.04%,1,m,1933
Gloria Vanderbilt,95,0.05%,1,f,1924
Robert Downey Sr.,85,0.06%,1,m,1936
Pernell Whitaker,55,0.07%,1,m,1964
Bill Russell,88,0.10%,1,m,1934
Dave Bartholomew,100,0.14%,1,m,1918
Donald Rumsfield,88,0.15%,1,m,1932
Joseph Walton,85,0.17%,1,m,1935
Margot Kidder,69,0.33%,1,f,1948
William Hurt,71,0.34%,1,m,1950
Marty Schottenheimer,77,0.35%,1,m,1943
Freddie Mercury,45,0.42%,1,m,1946
George Harrison,58,0.44%,1,m,1943
Bo Hopkins,84,0.45%,1,m,1938
DMX,50,0.45%,1,m,1970
Frederik Willem de Klerk,85,0.48%,1,m,1936
Don Shula,90,0.55%,1,m,1930
Craig Mack,47,0.72%,1,m,1970
Scott Walker,76,0.74%,1,m,1943
Don Everly,84,0.91%,1,m,1937
Norman Mineta,90,0.97%,1,m,1931
John Paul Stevens,99,1.12%,1,m,1920
William Charles Virdon,90,1.58%,1,m,1931
Antonio Mendez,78,1.73%,1,m,1940
Bruno Sammartino,82,1.95%,1,m,1935
Roald Dahl,74,1.99%,1,m,1916
Penny Marshall,75,2.24%,1,m,1943
Clarence Williams III,81,2.28%,1,m,1939
Robert Dean Stockwell,85,2.28%,1,m,1936
Jim Neidhart,63,2.32%,1,m,1955
Adam Schlesinger,52,2.62%,1,m,1967
Marlin Briscoe,76,2.65%,1,m,1945
Elvis Presley,42,2.75%,1,m,1935
Don Maynard,86,2.79%,1,m,1935
Peter Robbins,65,2.83%,1,m,1956
Karl Lagerfield,85,2.89%,1,m,1933
Prince Philip,99,2.94%,1,m,1921
Terry Jones ,77,3.37%,1,m,1942
Andy Fletcher,60,3.41%,1,m,1961
Ross Perot,89,3.44%,1,m,1930
Alan Ladd Jr.,84,3.48%,1,m,1937
Ray Liotta,67,3.55%,1,m,1954
John Lewis,80,3.87%,1,m,1940
Joan Didion,87,4.28%,1,f,1934
Desmond Tutu,90,4.55%,1,m,1931
Ivan Reitman,75,4.77%,1,m,1946
Michael K. Williams,54,5.54%,1,m,1966
Stephen Sondheim,91,5.55%,1,m,1930
Sidney Poitier,94,5.62%,1,f,1927
Robert Forster,78,6.36%,1,m,1941
Madeline Albright,84,7.81%,1,f,1937
Stephen Hawking,76,8.78%,1,m,1942
Marion Barber,38,9.49%,1,m,1983
Joseph Cleland,79,9.82%,1,m,1942
Jerry Remy,68,10.30%,1,m,1952
John Madden,85,10.31%,1,m,1936
Peter Fonda,79,10.53%,1,m,1940
Raymond T. Odierno,66,12.09%,1,m,1954
Robert Bly,94,12.26%,1,m,1926
Graeme Edge,80,13.34%,1,m,1941
Cedric McMillan,44,14.46%,1,m,1977
Aaron Beck,100,15.73%,1,m,1921
Rip Torn,88,16.30%,1,m,1931
Daniel Johnston,58,16.91%,1,m,1961
Cicely Tyson,87,17.30%,1,f,1924
Diego Maradona,60,17.75%,1,m,1960
Daryl Dragon,76,19.77%,1,m,1942
Scott Wilson,76,20.02%,2,m,1942
Martin Charnin,84,20.10%,2,m,1934
Barbara Bush,92,21.62%,2,f,1925
Pete Frates,34,22.25%,2,m,1984
Arlene Dahl,96,22.84%,2,f,1925
Vicente Fernandez,81,24.64%,2,m,1940
Anne Heche,53,25.93%,2,f,1969
Mikhail Gorbachev,91,26.51%,2,m,1931
Wes Unseld,74,26.52%,2,m,1946
Liz Sheridan,93,26.74%,2,f,1929
Johnny Isakson,76,29.53%,2,m,1944
Gary Brown,52,29.81%,1,m,1969
Biz Markie,57,31.21%,2,m,1964
Bernard Tapie,78,31.30%,2,m,1943
Don Sutton,75,32.41%,2,m,1945
Billy Kametz,35,32.53%,2,m,1987
Charles Van Doren,93,32.55%,2,m,1926
Andre Leon Talley,73,32.71%,2,m,1948
Eddie Money,70,32.83%,2,m,1949
Honor Blackman,94,32.86%,2,m,1925
Tony Sirico,79,33.07%,2,m,1942
Ed Asner,91,33.12%,2,m,1929
Olivia Newton-John,73,33.16%,2,f,1948
Katherine Johnson,101,33.20%,2,f,1918
Michel Legrand,86,33.23%,2,m,1932
Bob Dole,98,33.28%,2,m,1923
Bill Buckner,69,33.33%,2,m,1949
Bobby Rydell,79,33.34%,2,m,1942
Harold Prince,91,33.36%,2,m,1928
